"","x"
"1",9.08541493253681
"2",9.00392020028472
"3",8.89653028716334
"4",9.19836032973114
"5",9.15774906225593
"6",9.11704573157701
"7",9.03878457157378
"8",9.05948626005345
"9",8.94434642331272
"10",9.11832850679321
"11",8.89565772879793
"12",9.13797902544364
"13",8.98582446920398
"14",8.9612215959937
"15",9.00945011682245
"16",8.83320944988867
"17",8.95553008983017
"18",9.21101755346272
"19",9.07561577515684
"20",8.9152071544577
"21",8.90953077190849
"22",9.1435102939545
"23",9.1048215361201
"24",9.09230321919672
"25",8.90939732245531
"26",9.00154891347894
"27",9.04608166574737
"28",8.93134657656658
"29",8.94856200397524
"30",8.82677313817948
"31",9.04603762429159
"32",9.13025611578002
"33",8.92899321166422
"34",9.00531708761482
"35",9.07299061551362
"36",8.93929842457008
"37",9.16461988029061
"38",9.00269323794915
"39",9.15469644627266
"40",8.99629654575647
"41",8.91285196531662
"42",9.00038926530474
"43",8.89894220250999
"44",8.94215203191249
"45",8.949885921988
"46",9.16842157482275
"47",9.18385693662623
"48",9.13456571598244
"49",9.02988854908472
"50",9.02821765989025
"51",9.02345327002781
"52",8.94303939879527
"53",8.95920069402321
"54",9.01986697680961
"55",8.98024208526527
"56",8.8281976610611
"57",9.11135928301205
"58",9.05503436238352
"59",8.98816677618796
"60",8.99322639599717
"61",8.90874859253899
"62",8.95303431769447
"63",9.09786953704794
"64",8.92068667617137
"65",9.18451237257175
"66",8.95511103518026
"67",9.03828051686058
"68",9.06562236659564
"69",8.95346603712255
"70",8.8470969982
"71",8.99472214892488
"72",8.9887389973806
"73",9.00095352823086
"74",8.86872021761653
"75",9.03860458546135
"76",8.8912686287312
"77",8.94569031148446
"78",8.92852049119248
"79",8.93778565856749
"80",8.99551612458936
"81",9.05397058504247
"82",8.9385156017658
"83",9.09320018577016
"84",8.86688174316978
"85",8.95121211814168
"86",9.00385447573092
"87",8.97877601746514
"88",9.10657870789337
"89",9.06418038406845
"90",8.94269332731686
"91",8.84654729482603
"92",8.97852427894808
"93",9.13027989341774
"94",8.97414758454398
"95",8.98899547659985
"96",8.99554713772171
"97",9.03065404170033
"98",9.02597736823734
"99",8.93087783600744
"100",8.97916951796725
